序号,行号,逻辑块,UI 意图与行为,审计笔记
25,2022-2023,更新日志视图,隐藏设置页，显示日志页。,Modal 内部路由切换。
26,2046-2077,设置弹窗切换,settingsModal 的打开/关闭。,手写延时实现的 Overlay 逻辑。
27,2095-2103,捐赠二维码切换,子视图内容器显隐切换。,局部内容管理。
28,2112-2127,自定义下拉菜单,toggleDropdown 函数，含缩放动画和 200ms 延时。,通用 UI 组件逻辑。
29,2212-2226,侧边栏层级切换,使用 sidebar-push/pop 类实现平移动画。,嵌套导航，强制回流触发动画。
30,2421,侧边栏二级菜单,sidebar-push 类实现平移动画。,侧边栏内部导航逻辑。
31,2608,连击模态框保护,150ms 延时等待第一个 Confirm 消失。,脆弱的 UI 衔接。
32,2751-2752,自定义模态框打开,10ms 延时移除 opacity-0 触发渐现。,标准 Overlay 行为。
33,2766-2770,自定义模态框关闭,添加 opacity-0，300ms 延时后 hidden。,标准 Overlay 行为，closeOverlay 候选。
34,2976-3006,聊天输入框禁言态,针对解散群聊修改 opacity/pointerEvents/placeholder。,繁琐的局部状态管理。
35,3045-3066,在线状态颜色,实时切换文本颜色。,局部组件状态。
36,3077-3078,移动端聊天进入,添加 slide-in-right 类，400ms 后移除。,面板转场动画。
37,3082-3084,消息列表浮现,classList 移除/添加 slide-up 实现弹跳效果。,列表渲染微交互。
38,3089-3098,侧边栏高亮清理,遍历 ID，手动增删背景色类。,原始选中态维护。
39,3197,图片浏览器打开,galleryModal 移除 hidden。,标准 Overlay 入口。
40,3206-3224,图片堆叠展开,手动计算 height/transform/opacity。,复杂微交互逻辑。
41,3311,引用消息区域,quoteArea 显隐切换。,局部组件状态。
42,3343,转发选择器,forwardPicker 显隐切换。,标准 Overlay。
43,3370-3412,上下文菜单定位,禁用动画->移动->回流->恢复动画->渐现。,高精度 UI 定位逻辑。
44,3735-3752,新闻页签切换,150ms 延时渐隐渐现。,典型的野生转场。
45,3759-3801,旧版打开页面,操作 zIndex, translate-x-full, requestAnimationFrame。,核心审计对象 (旧引擎)。
46,3803-3822,旧版关闭页面,400ms 延时, history.back()。,核心审计对象 (旧引擎)。
47,3826-3874,扩展页面管理,针对不同扩展修改 lg:left-80 和 zIndex。,复杂的响应式层级逻辑。
48,3936-3963,模块页面内容,根据 MODULE_CONFIG 动态填充标题文字。,业务驱动的 UI 调度。
49,4129-4144,Masonry 响应式,resize 监听中手动计算列数并重绘。,响应式布局核心。
50,4327-4337,模块至聊天跳转,350ms 延时链式切换 Tab 和模块。,跨模块 UI 编排。
51,4366-4382,发帖图片预览,操作预览图和占位符显隐。,局部组件状态。
52,4404-4431,发帖表单打开,10ms 延时移除 translate-y-full 实现滑入。,关键覆盖层 (Slide-up)。
53,4455-4468,发帖表单关闭,400ms 延时隐藏。,关键覆盖层关闭逻辑。
54,4567-4607,详情面板打开,translate-x-full 滑入，注册层级。,核心 Overlay 逻辑 (Slide-in)。
55,4592-4607,详情面板关闭,380ms 延时隐藏，含 history.back()。,核心 Overlay 逻辑。
56,4671-4675,批量导入弹窗,classList 显隐切换。,局部 Overlay。
57,4749-4760,Eagle Time 入口,内部调用 openOverlayPage。,业务模块入口。
58,4851-4863,Eagle Time Resize,针对页面的独立 resize 监听。,局部响应式逻辑。
59,4935-4940,创建表单切换,classList.toggle 配合 scrollIntoView。,页面内折叠逻辑。
60,4979-5007,全局响应式转换,暴力清除 slide-in 类，重置 zIndex。,关键转场清理点 (Orchestrator)。
61,5019-5034,食堂页面打开,openOverlayPage 业务入口。,业务模块入口。
62,5086-5107,食堂编辑抽屉,translate-y-full 底部滑出动画。,标准 Drawer 行为。
63,5227-5231,管理后台打开,openOverlayPage 业务入口。,业务模块入口。
64,5440-5505,班级管理弹窗,连续 Prompt/Confirm/Alert 组合。,业务驱动多级弹窗。
65,5602,消息弹出动画,0.35s 弹性曲线动画。,标准微交互参数。
66,5618,左右平移参数,0.3s 转场时间。,标准转场参数。
67,5683,渐隐渐现参数,0.25s 动画时间。,标准淡入淡出参数。
68,5711,向上滑动参数,0.3s 减速曲线动画。,标准 Slide-up 参数。
69,5767-5810,侧边栏弹性参数,0.5s 平滑过渡时间。,桌面端布局参数。
70,5888,批量导入 Modal,z-[4001] 层级定义。,特殊功能层。
71,5915,崩溃错误层,z-[10000] 最高层级。,系统紧急出口层。
72,5984,加载页层级,z-[200] 状态层。,系统状态层。
73,6002,姓名设置层,z-[192] 业务流。,登录流子状态层。
74,6042,兼容性提示层,z-[195] 业务流。,登录流子状态层。
75,6071,登录页层级,z-[190] 状态层。,系统状态层。
76,6121,设置模态框层,z-[110] 交互层。,核心交互 Overlay。
77,6602-6651,捐赠视图切换,hidden 切换子容器。,局部 Overlay。
78,6655,图片浏览器,z-[3000] 全屏层。,核心全屏 Overlay。
79,6690,底部导航栏,z-50 常驻层。,基础 UI 布局层。
80,6717,左侧功能栏,z-[10] 容器。,一级侧边栏。
81,6951,消息列表栏,z-[10] 容器。,二级侧边栏。
82,6989,搜索建议层,z-[120] 弹出层。,高层级弹出组件。
83,7032,聊天主屏,Safe Area 处理。,主内容区域。
84,7080,引用预览条,slide-in-from-bottom-2 动画。,局部组件动画。
85,7125,消息上下文菜单,z-[250] 浮窗层。,核心交互 Overlay。
86,7162,转发选择器,z-[260] 弹出层。,核心交互 Overlay。
87,7177,具体模块页面,z-[100] translate-x-full 动画。,标准业务 Module 页面。
